{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.1},current price: 374.1675000000001, prediction: 560.3291015625,real prediction : 398.2888
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.2},current price: 375.24799999999993, prediction: 486.60943603515625,real prediction : 368.448
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.3},current price: 473.6874999999999, prediction: 690.9532470703125,real prediction : 474.795
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.1},current price: 569.475, prediction: 468.1219482421875,real prediction : 565.26
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.2},current price: 508.1138, prediction: 564.3085327148438,real prediction : 510.6387999999999
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.3},current price: 375.9887999999999, prediction: 604.0179443359375,real prediction : 387.3512999999999
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.1},current price: 480.0262999999999, prediction: 493.4345703125,real prediction : 474.6938
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.2},current price: 455.0913, prediction: 439.536865234375,real prediction : 434.0333
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.3},current price: 648.63, prediction: 586.2655029296875,real prediction : 649.8983
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.1},current price: 429.0761, prediction: 433.3822326660156,real prediction : 439.3
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.2},current price: 443.27, prediction: 444.6966857910156,real prediction : 455.0913
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.3},current price: 649.8983, prediction: 665.4992065429688,real prediction : 649.0567
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.1},current price: 614.1474999999997, prediction: 624.0589599609375,real prediction : 627.0188000000003
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.2},current price: 617.9425000000001, prediction: 596.8927612304688,real prediction : 600.0963000000002
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.3},current price: 508.0963, prediction: 514.9329833984375,real prediction : 480.0262999999999
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.1},current price: 314.446, prediction: 429.2933044433594,real prediction : 260.936
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.2},current price: 471.7538, prediction: 520.08056640625,real prediction : 476.3775000000001
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.3},current price: 375.24799999999993, prediction: 493.52667236328125,real prediction : 368.448
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.1},current price: 474.6938, prediction: 646.0558471679688,real prediction : 489.5475000000001
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.2},current price: 583.41, prediction: 685.6174926757812,real prediction : 607.1583
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.3},current price: 595.0367, prediction: 579.50341796875,real prediction : 582.4149999999998
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.1},current price: 426.7634, prediction: 371.1691589355469,real prediction : 437.3633
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.2},current price: 582.4149999999998, prediction: 580.680419921875,real prediction : 579.5867
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.3},current price: 381.3768000000001, prediction: 493.81939697265625,real prediction : 368.2282000000001
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.1},current price: 221.436, prediction: 283.7096862792969,real prediction : 210.5559
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.2},current price: 582.4149999999998, prediction: 660.3822021484375,real prediction : 579.5867
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.3},current price: 317.379, prediction: 402.6882629394531,real prediction : 314.446
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.1},current price: 619.9088000000002, prediction: 683.0674438476562,real prediction : 617.9425000000001
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.2},current price: 377.7417, prediction: 453.1548156738281,real prediction : 365.7660000000001
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.3},current price: 593.8655273953669, prediction: 552.6978759765625,real prediction : 585.5731940766995
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.1},current price: 567.175, prediction: 690.5833740234375,real prediction : 570.0033
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.2},current price: 488.7717, prediction: 487.73419189453125,real prediction : 524.475
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.3},current price: 524.475, prediction: 440.4425964355469,real prediction : 569.3767
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.1},current price: 328.7740000000001, prediction: 365.2609558105469,real prediction : 329.886
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.2},current price: 476.3775000000001, prediction: 521.2611083984375,real prediction : 476.0013
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.3},current price: 379.489, prediction: 361.2403869628906,real prediction : 374.103
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.1},current price: 375.9887999999999, prediction: 620.1089477539062,real prediction : 387.3512999999999
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.2},current price: 452.505, prediction: 457.7197570800781,real prediction : 439.19
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.3},current price: 327.8813, prediction: 490.5753173828125,real prediction : 328.73
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.1},current price: 396.62, prediction: 653.4812622070312,real prediction : 433.7512999999999
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.2},current price: 232.898, prediction: 460.1361999511719,real prediction : 253.8388999999999
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.3},current price: 620.16, prediction: 673.8899536132812,real prediction : 630.8350000000002
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.1},current price: 637.7549999999999, prediction: 516.0725708007812,real prediction : 648.1075000000002
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.2},current price: 590.9072702245192, prediction: 582.1571044921875,real prediction : 588.5004825541756
